annee,index,indicateur_specifique,code_iso,pays,score,rang_worldwide
2026,BTI,Transformation Index,MAR,Morocco,4.616666666666667,
2026,BTI,Transformation Index,MAR,Morocco,4.646428571428572,
2026,BTI,Transformation Index,MAR,Morocco,4.4714285714285715,
2026,BTI,Transformation Index,MAR,Morocco,4.503571428571428,
2026,BTI,Transformation Index,MAR,Morocco,4.517857142857142,
2026,BTI,Transformation Index,MAR,Morocco,4.595238095238095,
2026,BTI,Transformation Index,MAR,Morocco,4.614285714285714,
2026,BTI,Transformation Index,MAR,Morocco,4.698809523809524,
2026,BTI,Transformation Index,MAR,Morocco,4.773809523809524,
2026,BTI,Transformation Index,MAR,Morocco,4.544047619047619,
2025,CPI,Score Global,MAR,Morocco,39.0,91
2024,CPI,Score Global,MAR,Morocco,37.0,99
2023,CPI,Score Global,MAR,Morocco,38.0,97
2022,CPI,Score Global,MAR,Morocco,38.0,94
2021,CPI,Score Global,MAR,Morocco,39.0,87
2020,CPI,Score Global,MAR,Morocco,40.0,86
2019,CPI,Score Global,MAR,Morocco,41.0,80
2018,CPI,Score Global,MAR,Morocco,43.0,73
2017,CPI,Score Global,MAR,Morocco,40.0,81
2016,CPI,Score Global,MAR,Morocco,37.0,90
2015,CPI,Score Global,MAR,Morocco,36.0,88
2014,CPI,Score Global,MAR,Morocco,39.0,80
2013,CPI,Score Global,MAR,Morocco,37.0,91
2012,CPI,Score Global,MAR,Morocco,37.0,88
2026,DI,Democracy Index,MAR,Morocco,3.9,115
2026,DI,Democracy Index,MAR,Morocco,3.88,120
2026,DI,Democracy Index,MAR,Morocco,3.79,116
2026,DI,Democracy Index,MAR,Morocco,3.83,119
2026,DI,Democracy Index,MAR,Morocco,4.07,115
2026,DI,Democracy Index,MAR,Morocco,4.07,115
2026,DI,Democracy Index,MAR,Morocco,4.0,116
2026,DI,Democracy Index,MAR,Morocco,4.66,107
2026,DI,Democracy Index,MAR,Morocco,4.77,105
2026,DI,Democracy Index,MAR,Morocco,4.87,101
2026,DI,Democracy Index,MAR,Morocco,4.99,100
2026,DI,Democracy Index,MAR,Morocco,5.1,96
2026,DI,Democracy Index,MAR,Morocco,5.04,96
2026,DI,Democracy Index,MAR,Morocco,5.04,95
2026,DI,Democracy Index,MAR,Morocco,5.04,95
2026,DI,Democracy Index,MAR,Morocco,5.04,93
2026,DI,Democracy Index,MAR,Morocco,5.04,93
2023,IIAG,Overall Governance Score,MAR,Morocco,62.0,
2022,IIAG,Overall Governance Score,MAR,Morocco,61.5,
2021,IIAG,Overall Governance Score,MAR,Morocco,61.9,
2020,IIAG,Overall Governance Score,MAR,Morocco,60.3,
2019,IIAG,Overall Governance Score,MAR,Morocco,58.7,
2018,IIAG,Overall Governance Score,MAR,Morocco,57.7,
2017,IIAG,Overall Governance Score,MAR,Morocco,57.5,
2016,IIAG,Overall Governance Score,MAR,Morocco,57.8,
2015,IIAG,Overall Governance Score,MAR,Morocco,57.2,
2014,IIAG,Overall Governance Score,MAR,Morocco,56.7,
2013,IIAG,Overall Governance Score,MAR,Morocco,56.5,
2012,IIAG,Overall Governance Score,MAR,Morocco,56.6,
2025,OBI,Score de Transparence (OBI),MAR,Morocco,51.06,
2023,OBI,Score de Transparence (OBI),MAR,Morocco,46.78,
2021,OBI,Score de Transparence (OBI),MAR,Morocco,48.31,
2019,OBI,Score de Transparence (OBI),MAR,Morocco,42.83,
2017,OBI,Score de Transparence (OBI),MAR,Morocco,45.27,
2015,OBI,Score de Transparence (OBI),MAR,Morocco,38.2,
2012,OBI,Score de Transparence (OBI),MAR,Morocco,37.54,
2010,OBI,Score de Transparence (OBI),MAR,Morocco,28.21,
2008,OBI,Score de Transparence (OBI),MAR,Morocco,27.5,
2006,OBI,Score de Transparence (OBI),MAR,Morocco,19.15,
2024,WGI,Voice and Accountability,MAR,Morocco,-0.726704999999999,
2024,WGI,Control of Corruption,MAR,Morocco,-0.5186913,
2024,WGI,Government Effectiveness,MAR,Morocco,0.1763559,
2024,WGI,Political Stability and Absence of Violence,MAR,Morocco,-0.4408003,
2024,WGI,Regulatory Quality,MAR,Morocco,-0.0266854999999999,
2024,WGI,Rule of Law Index,MAR,Morocco,-0.3678036,
2023,WGI,Voice and Accountability,MAR,Morocco,-0.7258593,
2023,WGI,Control of Corruption,MAR,Morocco,-0.5521901,
2023,WGI,Government Effectiveness,MAR,Morocco,-0.0188320999999999,
2023,WGI,Political Stability and Absence of Violence,MAR,Morocco,-0.534977199999999,
2023,WGI,Regulatory Quality,MAR,Morocco,-0.0473438,
2023,WGI,Rule of Law Index,MAR,Morocco,-0.3934002,
2022,WGI,Voice and Accountability,MAR,Morocco,-0.6956057,
2022,WGI,Control of Corruption,MAR,Morocco,-0.4879114,
2022,WGI,Government Effectiveness,MAR,Morocco,-0.1200179,
2022,WGI,Political Stability and Absence of Violence,MAR,Morocco,-0.492008,
2022,WGI,Regulatory Quality,MAR,Morocco,-0.0811815999999999,
2022,WGI,Rule of Law Index,MAR,Morocco,-0.4491939,
2021,WGI,Voice and Accountability,MAR,Morocco,-0.696885,
2021,WGI,Control of Corruption,MAR,Morocco,-0.4783966,
2021,WGI,Government Effectiveness,MAR,Morocco,-0.1241745,
2021,WGI,Political Stability and Absence of Violence,MAR,Morocco,-0.4686437,
2021,WGI,Regulatory Quality,MAR,Morocco,-0.0751135,
2021,WGI,Rule of Law Index,MAR,Morocco,-0.4447944,
2020,WGI,Voice and Accountability,MAR,Morocco,-0.6956447,
2020,WGI,Control of Corruption,MAR,Morocco,-0.408551999999999,
2020,WGI,Government Effectiveness,MAR,Morocco,-0.0577221999999999,
2020,WGI,Political Stability and Absence of Violence,MAR,Morocco,-0.409449199999999,
2020,WGI,Regulatory Quality,MAR,Morocco,0.0648279,
2020,WGI,Rule of Law Index,MAR,Morocco,-0.314662899999999,
2019,WGI,Voice and Accountability,MAR,Morocco,-0.6666584,
